PROVINCIA;MUNICIPIO;ESTACION;TIPO_ESTACION;TIPO_AREA;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;1;3;37.0;22.0;16.0;18.0;25.0;44.0;51.0;56.0;48.0;39.0;38.0;46.0;54.0;34.0;30.0;65.0;88.0;97.0;109.0;94.0;92.0;86.0;60.0;49.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;1;7;69.0;61.0;52.0;59.0;59.0;55.0;56.0;65.0;70.0;73.0;65.0;55.0;47.0;40.0;35.0;27.0;40.0;68.0;90.0;76.0;72.0;62.0;56.0;51.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;1;8;48.0;38.0;40.0;50.0;49.0;47.0;62.0;81.0;68.0;60.0;41.0;49.0;46.0;37.0;33.0;40.0;78.0;105.0;158.0;148.0;137.0;106.0;77.0;62.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;1;11;24.0;19.0;18.0;32.0;44.0;71.0;89.0;92.0;86.0;77.0;43.0;19.0;17.0;18.0;;;60.0;90.0;106.0;103.0;106.0;93.0;78.0;75.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;1;12;58.0;53.0;54.0;51.0;45.0;47.0;53.0;59.0;61.0;49.0;37.0;26.0;20.0;16.0;11.0;16.0;50.0;73.0;89.0;89.0;106.0;80.0;68.0;61.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;1;13;65.0;41.0;35.0;33.0;31.0;30.0;30.0;34.0;33.0;35.0;26.0;24.0;23.0;26.0;27.0;39.0;73.0;95.0;103.0;103.0;99.0;93.0;79.0;57.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;1;18;50.0;47.0;44.0;43.0;42.0;46.0;46.0;69.0;60.0;54.0;;;47.0;55.0;64.0;56.0;55.0;44.0;46.0;63.0;61.0;81.0;85.0;68.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;1;20;37.0;26.0;27.0;26.0;22.0;24.0;29.0;33.0;25.0;29.0;17.0;13.0;11.0;9.0;9.0;10.0;15.0;32.0;32.0;28.0;22.0;15.0;28.0;10.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;1;22;42.0;40.0;33.0;35.0;49.0;53.0;72.0;86.0;77.0;75.0;49.0;43.0;38.0;30.0;28.0;41.0;56.0;68.0;62.0;59.0;60.0;63.0;44.0;50.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;1;23;39.0;13.0;16.0;25.0;23.0;21.0;26.0;28.0;28.0;33.0;28.0;23.0;32.0;23.0;29.0;31.0;42.0;46.0;31.0;22.0;22.0;17.0;12.0;6.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;1;24;10.0;7.0;5.0;12.0;28.0;37.0;65.0;75.0;54.0;26.0;24.0;20.0;15.0;10.0;12.0;14.0;21.0;21.0;20.0;19.0;16.0;11.0;9.0;7.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;2;1;6.0;4.0;4.0;8.0;11.0;10.0;16.0;30.0;28.0;19.0;15.0;9.0;9.0;10.0;11.0;17.0;21.0;33.0;29.0;26.0;34.0;28.0;18.0;11.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;2;4;39.0;36.0;40.0;39.0;46.0;49.0;55.0;65.0;58.0;59.0;62.0;50.0;42.0;31.0;37.0;40.0;64.0;68.0;94.0;111.0;110.0;92.0;87.0;79.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;2;5;56.0;52.0;47.0;45.0;44.0;47.0;55.0;62.0;54.0;42.0;44.0;41.0;49.0;44.0;43.0;50.0;73.0;90.0;126.0;138.0;114.0;98.0;83.0;60.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;2;9;;;;;;;;;;;;14.0;14.0;13.0;9.0;8.0;15.0;29.0;52.0;69.0;78.0;39.0;32.0;19.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;2;11;18.0;22.0;22.0;26.0;31.0;40.0;64.0;68.0;54.0;29.0;20.0;15.0;14.0;14.0;13.0;;;32.0;53.0;69.0;52.0;37.0;22.0;29.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;2;13;48.0;43.0;37.0;36.0;40.0;48.0;52.0;55.0;51.0;52.0;52.0;42.0;23.0;17.0;22.0;21.0;25.0;77.0;123.0;103.0;112.0;100.0;91.0;72.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;2;15;54.0;49.0;41.0;38.0;44.0;48.0;53.0;52.0;51.0;46.0;45.0;39.0;20.0;27.0;23.0;28.0;33.0;60.0;101.0;101.0;90.0;94.0;94.0;70.0
MADRID;ALCALÁ DE HENARES;2;TRÁFICO;URBANA;NO2;28005002_8_8;2019;2;17;54.0;42.0;37.0;29.0;33.0;31.0;34.0;32.0;25.0;26.0;25.0;17.0;7.0;6.0;8.0;11.0;12.0;26.0;64.0;74.0;37.0;18.0;18.0;13.0
