PROVINCIA;MUNICIPIO;ESTACION;TIPO_ESTACION;TIPO_AREA;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;1;71.0;68.0;50.0;35.0;23.0;20.0;16.0;16.0;19.0;17.0;15.0;13.0;8.0;15.0;14.0;14.0;18.0;29.0;37.0;44.0;61.0;64.0;54.0;41.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;8;23.0;26.0;20.0;19.0;22.0;27.0;30.0;39.0;52.0;58.0;50.0;37.0;32.0;27.0;22.0;21.0;24.0;33.0;57.0;90.0;107.0;102.0;86.0;66.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;10;14.0;20.0;19.0;18.0;15.0;18.0;24.0;31.0;35.0;33.0;24.0;15.0;14.0;13.0;12.0;11.0;12.0;12.0;9.0;10.0;9.0;11.0;9.0;9.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;11;14.0;16.0;15.0;11.0;10.0;24.0;36.0;50.0;61.0;64.0;55.0;36.0;22.0;14.0;;2.0;12.0;23.0;33.0;44.0;51.0;63.0;59.0;54.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;12;61.0;57.0;50.0;47.0;40.0;32.0;28.0;31.0;42.0;48.0;40.0;27.0;17.0;12.0;7.0;6.0;7.0;13.0;17.0;25.0;43.0;55.0;55.0;46.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;18;17.0;12.0;12.0;15.0;15.0;17.0;16.0;21.0;42.0;44.0;47.0;49.0;49.0;50.0;41.0;35.0;34.0;32.0;30.0;27.0;27.0;29.0;44.0;56.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;20;15.0;21.0;24.0;23.0;20.0;15.0;19.0;18.0;19.0;14.0;10.0;4.0;2.0;2.0;2.0;1.0;1.0;2.0;6.0;6.0;5.0;1.0;2.0;1.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;22;5.0;11.0;9.0;8.0;9.0;15.0;20.0;34.0;43.0;52.0;50.0;36.0;28.0;17.0;10.0;7.0;10.0;13.0;15.0;15.0;18.0;20.0;20.0;17.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;23;13.0;9.0;4.0;4.0;7.0;4.0;3.0;3.0;4.0;5.0;7.0;8.0;5.0;9.0;14.0;14.0;14.0;16.0;15.0;11.0;7.0;7.0;5.0;7.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;26;24.0;27.0;24.0;19.0;17.0;15.0;15.0;16.0;16.0;22.0;21.0;13.0;11.0;10.0;14.0;13.0;15.0;17.0;24.0;26.0;19.0;26.0;38.0;48.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;27;44.0;38.0;41.0;34.0;28.0;27.0;22.0;27.0;33.0;31.0;29.0;18.0;5.0;3.0;4.0;7.0;7.0;11.0;10.0;10.0;4.0;11.0;6.0;10.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;31;18.0;22.0;10.0;5.0;5.0;5.0;7.0;3.0;4.0;6.0;6.0;7.0;11.0;2.0;4.0;5.0;5.0;9.0;9.0;7.0;2.0;2.0;4.0;6.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;1;1.0;4.0;2.0;1.0;3.0;4.0;7.0;1.0;7.0;9.0;9.0;10.0;11.0;10.0;5.0;6.0;5.0;5.0;2.0;3.0;4.0;5.0;3.0;2.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;4;8.0;14.0;17.0;21.0;25.0;25.0;26.0;30.0;35.0;43.0;65.0;63.0;42.0;26.0;20.0;18.0;15.0;23.0;23.0;32.0;53.0;69.0;69.0;64.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;9;30.0;40.0;37.0;31.0;29.0;28.0;28.0;29.0;29.0;29.0;22.0;14.0;12.0;11.0;10.0;8.0;11.0;17.0;24.0;24.0;28.0;33.0;27.0;18.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;13;33.0;30.0;24.0;20.0;18.0;18.0;22.0;22.0;27.0;29.0;32.0;31.0;26.0;16.0;12.0;17.0;20.0;23.0;50.0;68.0;65.0;75.0;75.0;67.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;17;41.0;30.0;28.0;24.0;22.0;21.0;20.0;20.0;21.0;19.0;14.0;7.0;4.0;2.0;4.0;4.0;12.0;18.0;22.0;29.0;31.0;27.0;20.0;18.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;19;76.0;69.0;56.0;42.0;38.0;37.0;43.0;53.0;56.0;56.0;47.0;40.0;36.0;33.0;33.0;39.0;43.0;50.0;67.0;81.0;87.0;88.0;89.0;86.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;22;63.0;55.0;49.0;48.0;44.0;45.0;43.0;52.0;55.0;54.0;54.0;52.0;48.0;41.0;33.0;30.0;31.0;36.0;51.0;75.0;91.0;104.0;100.0;78.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;24;69.0;61.0;51.0;45.0;43.0;39.0;41.0;41.0;36.0;33.0;29.0;21.0;19.0;23.0;24.0;26.0;27.0;28.0;33.0;46.0;56.0;65.0;71.0;68.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;26;56.0;40.0;39.0;36.0;32.0;31.0;31.0;34.0;36.0;36.0;33.0;29.0;;;;;;82.0;67.0;50.0;41.0;40.0;51.0;59.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;4;14.0;17.0;15.0;12.0;13.0;11.0;11.0;9.0;10.0;9.0;9.0;7.0;6.0;4.0;8.0;8.0;9.0;11.0;12.0;15.0;15.0;14.0;14.0;12.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;5;13.0;15.0;14.0;13.0;13.0;13.0;14.0;15.0;18.0;17.0;16.0;14.0;11.0;11.0;12.0;12.0;11.0;12.0;13.0;14.0;16.0;17.0;14.0;11.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;16;49.0;36.0;24.0;14.0;14.0;17.0;24.0;26.0;23.0;20.0;18.0;16.0;12.0;8.0;6.0;4.0;5.0;7.0;15.0;23.0;40.0;52.0;57.0;60.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;17;61.0;49.0;41.0;34.0;27.0;24.0;23.0;23.0;22.0;20.0;18.0;23.0;37.0;43.0;37.0;33.0;29.0;29.0;25.0;22.0;18.0;17.0;15.0;11.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;2;33.0;24.0;22.0;21.0;18.0;20.0;29.0;33.0;33.0;30.0;27.0;25.0;21.0;20.0;19.0;18.0;23.0;38.0;73.0;112.0;126.0;124.0;106.0;81.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;3;61.0;39.0;23.0;18.0;14.0;9.0;10.0;15.0;22.0;20.0;;;8.0;17.0;20.0;20.0;28.0;39.0;53.0;63.0;68.0;63.0;55.0;52.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;4;50.0;41.0;23.0;16.0;20.0;23.0;19.0;23.0;30.0;29.0;27.0;26.0;25.0;24.0;21.0;20.0;25.0;76.0;107.0;119.0;124.0;111.0;94.0;70.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;5;54.0;37.0;28.0;25.0;25.0;25.0;23.0;23.0;25.0;29.0;29.0;23.0;20.0;19.0;17.0;21.0;26.0;37.0;62.0;87.0;94.0;86.0;76.0;64.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;6;45.0;38.0;36.0;33.0;32.0;30.0;27.0;25.0;25.0;22.0;21.0;21.0;18.0;15.0;12.0;10.0;7.0;13.0;21.0;26.0;31.0;34.0;45.0;44.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;7;40.0;39.0;33.0;32.0;31.0;26.0;23.0;42.0;46.0;46.0;48.0;44.0;31.0;20.0;16.0;13.0;12.0;11.0;18.0;28.0;32.0;29.0;26.0;22.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;9;53.0;41.0;36.0;36.0;31.0;33.0;45.0;66.0;87.0;74.0;46.0;28.0;19.0;13.0;16.0;27.0;28.0;22.0;16.0;11.0;8.0;10.0;14.0;14.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;13;39.0;29.0;25.0;22.0;21.0;21.0;18.0;17.0;17.0;20.0;22.0;19.0;15.0;11.0;9.0;13.0;13.0;20.0;36.0;51.0;63.0;66.0;63.0;58.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;14;52.0;40.0;32.0;34.0;36.0;32.0;39.0;45.0;54.0;60.0;51.0;43.0;37.0;30.0;28.0;24.0;22.0;30.0;59.0;86.0;89.0;89.0;80.0;71.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;15;60.0;48.0;38.0;35.0;31.0;24.0;23.0;24.0;30.0;34.0;28.0;25.0;24.0;20.0;20.0;21.0;20.0;33.0;56.0;83.0;101.0;91.0;71.0;67.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;16;55.0;43.0;36.0;33.0;27.0;27.0;26.0;33.0;37.0;35.0;43.0;50.0;46.0;40.0;34.0;31.0;34.0;34.0;34.0;32.0;33.0;36.0;33.0;30.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;17;25.0;35.0;47.0;50.0;43.0;41.0;50.0;56.0;57.0;65.0;64.0;73.0;79.0;71.0;61.0;51.0;42.0;56.0;70.0;58.0;50.0;46.0;35.0;24.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;19;59.0;63.0;57.0;47.0;45.0;41.0;44.0;48.0;48.0;42.0;43.0;45.0;43.0;37.0;33.0;27.0;20.0;21.0;16.0;17.0;18.0;17.0;15.0;14.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;21;4.0;4.0;4.0;2.0;1.0;2.0;6.0;9.0;12.0;10.0;7.0;11.0;12.0;9.0;8.0;12.0;16.0;14.0;11.0;10.0;5.0;6.0;8.0;6.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;24;6.0;4.0;5.0;6.0;5.0;7.0;6.0;9.0;19.0;13.0;7.0;9.0;19.0;21.0;20.0;24.0;19.0;14.0;11.0;9.0;7.0;5.0;5.0;5.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;25;6.0;4.0;7.0;4.0;3.0;4.0;8.0;14.0;20.0;15.0;12.0;;14.0;12.0;11.0;13.0;14.0;13.0;15.0;11.0;13.0;17.0;19.0;20.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;28;16.0;17.0;14.0;14.0;20.0;25.0;28.0;31.0;29.0;23.0;28.0;19.0;12.0;7.0;5.0;8.0;9.0;12.0;20.0;26.0;20.0;5.0;15.0;4.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;29;20.0;23.0;17.0;19.0;29.0;29.0;38.0;48.0;50.0;48.0;38.0;25.0;28.0;21.0;14.0;19.0;6.0;9.0;9.0;5.0;5.0;14.0;6.0;9.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;30;5.0;2.0;7.0;7.0;6.0;9.0;12.0;25.0;34.0;35.0;25.0;24.0;19.0;8.0;6.0;15.0;17.0;12.0;10.0;12.0;8.0;5.0;1.0;5.0
