PROVINCIA;MUNICIPIO;ESTACION;TIPO_ESTACION;TIPO_AREA;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;1;0.9;0.8;0.6;0.6;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.4;0.5;0.6;1.1;1.3;1.4;1.2;1.4;1.1;0.7
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;2;0.5;0.4;0.5;0.4;0.5;0.6;0.6;0.7;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.7;1.0;1.3;1.0;1.2;1.3;1.2;0.9
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;3;0.7;0.7;0.6;0.5;0.6;0.6;0.9;0.8;0.6;0.7;0.7;0.6;0.6;0.6;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;4;0.6;0.5;0.4;0.5;0.5;0.5;0.5;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.6;0.6;0.9;0.7;0.8;0.8;0.6
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;5;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.8;0.9;1.1;1.2;1.2;1.1;0.8
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;6;0.7;0.6;0.6;0.5;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.5;0.5;0.5;0.7;1.1;1.5;1.4;1.5;1.2;1.3;0.9
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;9;0.8;0.6;0.5;0.5;0.6;0.6;0.8;0.8;0.6;0.7;0.7;0.6;0.6;0.5;0.5;0.5;0.5;0.6;0.8;0.7;0.6;0.6;0.6;0.6
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;13;0.6;0.6;0.6;0.6;0.6;0.8;0.7;0.7;0.9;0.7;0.7;0.8;0.7;0.6;0.6;0.5;0.5;0.6;0.6;0.7;0.7;0.9;1.4;1.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;16;0.6;0.6;0.6;0.6;0.6;0.7;0.9;1.0;1.2;0.9;0.6;0.5;0.6;0.5;0.5;0.5;0.5;0.6;1.1;1.0;1.2;1.1;0.8;0.5
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;CO;28005002_6_48;2020;1;29;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
