PROVINCIA;MUNICIPIO;ESTACION;TIPO_ESTACION;TIPO_AREA;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;NO2;28005002_8_8;2020;1;1;47.0;50.0;39.0;37.0;33.0;33.0;29.0;25.0;22.0;20.0;20.0;21.0;23.0;26.0;25.0;24.0;50.0;72.0;78.0;86.0;81.0;76.0;60.0;49.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;NO2;28005002_8_8;2020;1;2;39.0;34.0;34.0;31.0;33.0;41.0;42.0;49.0;45.0;43.0;37.0;44.0;45.0;47.0;40.0;49.0;57.0;75.0;97.0;76.0;86.0;86.0;74.0;60.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;NO2;28005002_8_8;2020;1;3;46.0;40.0;35.0;33.0;34.0;37.0;50.0;51.0;43.0;45.0;49.0;40.0;39.0;49.0;40.0;28.0;48.0;63.0;67.0;58.0;61.0;56.0;57.0;53.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;NO2;28005002_8_8;2020;1;4;50.0;42.0;35.0;38.0;35.0;47.0;48.0;52.0;49.0;37.0;28.0;19.0;17.0;16.0;16.0;17.0;30.0;68.0;76.0;88.0;69.0;69.0;62.0;52.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;NO2;28005002_8_8;2020;1;5;42.0;41.0;32.0;32.0;33.0;38.0;33.0;38.0;34.0;30.0;29.0;27.0;24.0;22.0;18.0;19.0;42.0;74.0;79.0;92.0;79.0;74.0;68.0;53.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;NO2;28005002_8_8;2020;1;6;59.0;40.0;38.0;31.0;31.0;31.0;34.0;30.0;27.0;23.0;27.0;31.0;36.0;29.0;24.0;27.0;45.0;68.0;96.0;92.0;87.0;75.0;92.0;55.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;NO2;28005002_8_8;2020;1;7;45.0;42.0;38.0;35.0;34.0;42.0;51.0;57.0;57.0;48.0;44.0;46.0;53.0;53.0;47.0;56.0;65.0;101.0;117.0;126.0;128.0;103.0;81.0;55.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;NO2;28005002_8_8;2020;1;8;53.0;46.0;49.0;44.0;43.0;51.0;56.0;63.0;61.0;53.0;54.0;55.0;62.0;;64.0;69.0;75.0;107.0;117.0;103.0;113.0;88.0;98.0;78.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;NO2;28005002_8_8;2020;1;9;58.0;43.0;40.0;38.0;38.0;44.0;49.0;56.0;44.0;47.0;53.0;51.0;48.0;41.0;33.0;27.0;40.0;58.0;77.0;68.0;52.0;41.0;37.0;49.0
MADRID;ALCALÁ DE HENARES;2;TRAFICO;URBANA;NO2;28005002_8_8;2020;1;10;55.0;57.0;47.0;43.0;42.0;54.0;71.0;79.0;74.0;53.0;48.0;29.0;18.0;21.0;22.0;25.0;29.0;53.0;66.0;58.0;65.0;69.0;64.0;54.0
