PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31;TECNICA;ENVIADO
BADAJOZ;BARCARROTA;999;DIOXIDO DE AZUFRE;06016999_1_38;2019;1;0;11;V;0;11;V;0;11;V;0;11;V;0;12;V;0;10;V;0;12;V;0;11;V;0;14;V;0;14;V;0;11;V;0;12;V;0;13;V;0;12;V;0;14;V;0;16;V;0;12;V;0;14;V;0;16;V;0;10;V;0;14;V;0
BADAJOZ;BARCARROTA;999;MONOXIDO DE NITROGENO;06016999_7_8;2019;1;0;880;V;0;47;V;0;21;V;0;12;V;0;13;V;0;760;V;0;14;V;0;25;V;0;18;V;0;27;V;0;14;V;0;23;V;0;11;V;0;19;V;0;27;V;0;980;V;0;16;V;0;24;V;0;470;V;0;5;V;0;17;V;0
BADAJOZ;BARCARROTA;999;OZONO;06016999_14_6;2019;1;36;V;33;V;28;V;42;V;43;V;46;V;48;V;46;V;45;V;43;V;61;V;51;V;47;V;39;V;28;V;44;V;34;V;N;N;N;N;N;69;V;51;V;39;V;37;V;51;V;57;V;62;V;63;V;63;V;C;;;;;;
BALEARES;MAHON;999;DIOXIDO DE AZUFRE;07032999_1_38;2019;1;0;59;V;1;20;V;0;53;V;0;54;V;1;10;V;0;49;V;0;44;V;0;72;V;0;93;V;0;54;V;0;54;V;0;60;V;0;88;V;0;42;V;0;33;V;0;32;V;0;40;V;0;34;V;0;59;V;0;33;V;N;N;N;0
BALEARES;MAHON;999;DIOXIDO DE NITROGENO;07032999_8_8;2019;1;9;10;V;11;V;1;80;V;2;40;V;12;V;3;10;V;1;90;V;7;90;V;9;50;V;1;80;V;1;90;V;6;30;V;12;V;2;80;V;5;V;2;20;V;4;20;V;1;40;V;6;30;V;2;V;N;N;N;1;50;V;1;30;V
BALEARES;MAHON;999;OZONO;07032999_14_6;2019;1;49;V;55;V;80;V;77;V;61;V;77;V;67;V;62;V;62;V;76;V;72;V;70;V;57;V;71;V;73;V;76;V;83;V;81;V;64;V;84;V;N;N;N;84;V;88;V;75;V;71;V;77;V;76;V;74;V;79;V;C;;;;
CORUÑA;NOIA;999;DIOXIDO DE AZUFRE;15057999_1_38;2019;1;1;80;V;2;V;1;40;V;1;30;V;2;60;V;1;10;V;1;V;1;30;V;1;40;V;1;10;V;1;10;V;1;V;2;30;V;1;80;V;1;40;V;0;82;V;0;87;V;0;97;V;0;65;V;0;59;V;0;87;V;0;62;V;0
CORUÑA;NOIA;999;DIOXIDO DE NITROGENO;15057999_8_8;2019;1;2;10;V;3;90;V;2;50;V;2;90;V;3;V;2;V;2;30;V;4;V;3;10;V;4;70;V;4;10;V;2;80;V;3;V;5;20;V;6;V;1;60;V;1;60;V;4;70;V;3;30;V;1;V;2;60;V;1;30;V;0;96;V;1
GIRONA;CADAQUES;999;DIOXIDO DE AZUFRE;17032999_1_38;2019;1;0;46;V;0;49;V;0;54;V;0;54;V;0;58;V;0;55;V;0;55;V;0;53;V;0;52;V;0;53;V;0;59;V;0;55;V;0;55;V;0;51;V;0;51;V;0;69;V;0;62;V;0;49;V;0;56;V;0;60;V;0;51;V;0
GIRONA;CADAQUES;999;OZONO;17032999_14_6;2019;1;55;V;52;V;65;V;67;V;68;V;63;V;53;V;60;V;47;V;45;V;49;V;61;V;67;V;61;V;68;V;50;V;65;V;69;V;70;V;62;V;59;V;65;V;65;V;40;V;41;V;58;V;61;V;68;V;62;V;77;V;57;V;C;
