"AEROPUERTOS";"Total"
;
ADOLFO SUÁREZ MADRID-BARAJAS;426.375
BARCELONA-EL PRAT J.T.;344.563
PALMA DE MALLORCA;217.222
MALAGA-COSTA DEL SOL;144.939
GRAN CANARIA;126.451
ALICANTE-ELCHE;101.410
VALENCIA;77.702
TENERIFE NORTE-C. LA LAGUNA;75.388
IBIZA;75.378
TENERIFE-SUR;70.277
SEVILLA;64.112
LANZAROTE-CESAR MANRIQUE;60.524
JEREZ DE LA FRONTERA;54.504
MADRID-CUATRO VIENTOS;51.949
BILBAO;51.591
SABADELL;50.663
FUERTEVENTURA;47.223
MENORCA;31.594
LA PALMA;22.612
SANTIAGO-ROSALÍA DE CASTRO;22.402
GIRONA-COSTA BRAVA;18.253
REUS;17.679
A CORUÑA;17.199
FGL GRANADA-JAEN;14.529
ASTURIAS;13.406
SON BONET;13.359
ALMERIA;11.777
VIGO;11.524
SEVE BALLESTEROS-SANTANDER;11.238
CORDOBA;10.828
VITORIA;10.798
SALAMANCA;10.129
MELILLA;9.768
HUESCA-PIRINEOS;9.198
ZARAGOZA;8.772
AEROPUERTO INTL. REGIÓN MURCIA  (**);7.976
CEUTA-HELIPUERTO;6.846
SAN SEBASTIAN;6.473
PAMPLONA;6.136
VALLADOLID;5.670
EL HIERRO;5.374
ALGECIRAS-HELIPUERTO;3.328
BURGOS;3.221
BADAJOZ;2.880
LA GOMERA;2.844
LEON;2.758
LOGROÑO;1.420
ALBACETE;561
MURCIA-SAN JAVIER  (*);222
