"AEROPUERTOS";"Total"
;
ADOLFO SUÁREZ MADRID-BARAJAS;144.597
BARCELONA-EL PRAT J.T.;106.352
PALMA DE MALLORCA;105.448
MALAGA-COSTA DEL SOL;61.849
GRAN CANARIA;54.359
IBIZA;49.387
MADRID-CUATRO VIENTOS;47.808
SABADELL;40.134
TENERIFE NORTE-C. LA LAGUNA;39.415
VALENCIA;33.807
ALICANTE-ELCHE MIGUEL HDEZ.;33.055
JEREZ DE LA FRONTERA;32.972
SEVILLA;29.567
LANZAROTE-CESAR MANRIQUE;23.847
TENERIFE-SUR;23.197
FUERTEVENTURA;21.158
MENORCA;20.960
BILBAO;17.641
BURGOS;13.764
LA PALMA;11.389
SON BONET;11.170
REUS;10.871
SANTIAGO-ROSALÍA DE CASTRO;10.445
GIRONA-COSTA BRAVA;10.023
VITORIA;9.342
CORDOBA;9.117
A CORUÑA;9.014
SALAMANCA;7.908
FGL GRANADA-JAEN;7.026
VIGO;6.560
ZARAGOZA;6.289
ALMERIA;5.966
MELILLA;5.620
SEVE BALLESTEROS-SANTANDER;5.580
ASTURIAS;5.509
CEUTA-HELIPUERTO;4.705
VALLADOLID;4.313
PAMPLONA;4.112
EL HIERRO;3.642
AEROPUERTO INTL. REGIÓN MURCIA  (**);2.380
LEON;2.333
ALGECIRAS-HELIPUERTO;2.292
SAN SEBASTIAN;2.171
HUESCA-PIRINEOS;2.009
LA GOMERA;1.957
BADAJOZ;1.367
LOGROÑO;1.088
ALBACETE;583
MURCIA-SAN JAVIER  (*);0
