"AEROPUERTOS";"Total"
;
ADOLFO SUÁREZ MADRID-BARAJAS;14.894.155
BARCELONA-EL PRAT J.T.;11.590.328
PALMA DE MALLORCA;10.666.271
MALAGA-COSTA DEL SOL;5.549.338
GRAN CANARIA;3.986.693
IBIZA;3.819.329
ALICANTE-ELCHE MIGUEL HDEZ.;3.507.631
TENERIFE NORTE-C. LA LAGUNA;2.667.616
VALENCIA;2.538.084
TENERIFE-SUR;2.189.089
SEVILLA;2.024.980
MENORCA;1.927.930
LANZAROTE-CESAR MANRIQUE;1.906.290
FUERTEVENTURA;1.816.226
BILBAO;1.661.294
SANTIAGO-ROSALÍA DE CASTRO;1.062.575
LA PALMA;624.657
ASTURIAS;543.713
A CORUÑA;400.803
VIGO;370.330
FGL GRANADA-JAEN;316.340
SEVE BALLESTEROS-SANTANDER;308.607
JEREZ DE LA FRONTERA;284.743
MELILLA;231.066
GIRONA-COSTA BRAVA;226.191
ALMERIA;222.718
AEROPUERTO INTL. REGIÓN MURCIA  (**);193.837
EL HIERRO;173.132
ZARAGOZA;171.626
REUS;120.829
SAN SEBASTIAN;97.569
VITORIA;77.691
PAMPLONA;76.632
VALLADOLID;70.740
LA GOMERA;62.935
CEUTA-HELIPUERTO;45.000
BADAJOZ;29.557
ALGECIRAS-HELIPUERTO;24.671
LEON;21.905
SALAMANCA;10.001
BURGOS;6.653
SON BONET;6.218
SABADELL;3.864
LOGROÑO;3.180
CORDOBA;2.254
MADRID-CUATRO VIENTOS;1.764
ALBACETE;1.026
HUESCA-PIRINEOS;1.017
MURCIA-SAN JAVIER  (*);0
